title,author,edition,url,book_name,download_url
Fundamentals of Power Electronics,"Robert W. Erickson, DraganMaksimovic",2nd ed.2001,http://link.springer.com/openurl?genre=book&isbn=978-0-306-48048-5,Fundamentals_of_Power_Electronics,https://link.springer.com//content/pdf/10.1007%2Fb100747.pdf
Handbook of the Life Course,"Jeylan T. Mortimer, Michael J.Shanahan",2003,http://link.springer.com/openurl?genre=book&isbn=978-0-306-48247-2,Handbook_of_the_Life_Course,https://link.springer.com//content/pdf/10.1007%2Fb100507.pdf
All of Statistics,Larry Wasserman,2004,http://link.springer.com/openurl?genre=book&isbn=978-0-387-21736-9,All_of_Statistics,https://link.springer.com//content/pdf/10.1007%2F978-0-387-21736-9.pdf
Social Anxiety and Social Phobia in Youth,Christopher Kearney,2005,http://link.springer.com/openurl?genre=book&isbn=978-0-387-22592-0,Social_Anxiety_and_Social_Phobia_in_Youth,https://link.springer.com//content/pdf/10.1007%2Fb99417.pdf
Discrete Mathematics,"László Lovász, József Pelikán, KatalinVesztergombi",2003,http://link.springer.com/openurl?genre=book&isbn=978-0-387-21777-2,Discrete_Mathematics,https://link.springer.com//content/pdf/10.1007%2Fb97469.pdf
Developmental Neurobiology,"Mahendra S. Rao, Marcus Jacobson",4th ed.2005,http://link.springer.com/openurl?genre=book&isbn=978-0-387-28117-9,Developmental_Neurobiology,https://link.springer.com//content/pdf/10.1007%2F0-387-28117-7.pdf
Intuitive Probability and Random Processes using MATLAB®,Steven Kay,2006,http://link.springer.com/openurl?genre=book&isbn=978-0-387-24158-6,Intuitive_Probability_and_Random_Processes_using_MATLAB®,https://link.springer.com//content/pdf/10.1007%2Fb104645.pdf
Handbook of Disaster Research,"Havidan Rodriguez, Enrico L.Quarantelli, Russell Dynes",2006,http://link.springer.com/openurl?genre=book&isbn=978-0-387-32353-4,Handbook_of_Disaster_Research,https://link.springer.com//content/pdf/10.1007%2F978-0-387-32353-4.pdf
Handbook of the Sociology of Gender,Janet Saltzman Chafetz,1999,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36218-2,Handbook_of_the_Sociology_of_Gender,https://link.springer.com//content/pdf/10.1007%2F0-387-36218-5.pdf
Handbook of Sociological Theory,Jonathan H. Turner,2001,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36274-8,Handbook_of_Sociological_Theory,https://link.springer.com//content/pdf/10.1007%2F0-387-36274-6.pdf
Clinical Neuroanatomy,"John Mendoza, Anne Foundas",2008,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36601-2,Clinical_Neuroanatomy,https://link.springer.com//content/pdf/10.1007%2F978-0-387-36601-2.pdf
Acquired Brain Injury,"Jean Elbaum, Deborah Benson",2007,http://link.springer.com/openurl?genre=book&isbn=978-0-387-37575-5,Acquired_Brain_Injury,https://link.springer.com//content/pdf/10.1007%2F978-0-387-37575-5.pdf
Numerical Optimization,"Jorge Nocedal, Stephen Wright",2nd ed.2006,http://link.springer.com/openurl?genre=book&isbn=978-0-387-40065-5,Numerical_Optimization,https://link.springer.com//content/pdf/10.1007%2F978-0-387-40065-5.pdf
Handbook of Biological Confocal Microscopy,James Pawley,3rd ed.2006,http://link.springer.com/openurl?genre=book&isbn=978-0-387-45524-2,Handbook_of_Biological_Confocal_Microscopy,https://link.springer.com//content/pdf/10.1007%2F978-0-387-45524-2.pdf
Ceramic Materials,"C. Barry Carter, M. Grant Norton",2007,http://link.springer.com/openurl?genre=book&isbn=978-0-387-46271-4,Ceramic_Materials,https://link.springer.com//content/pdf/10.1007%2F978-0-387-46271-4.pdf
Principles of Fluorescence Spectroscopy,Joseph R. Lakowicz,3rd ed.2006,http://link.springer.com/openurl?genre=book&isbn=978-0-387-46312-4,Principles_of_Fluorescence_Spectroscopy,https://link.springer.com//content/pdf/10.1007%2F978-0-387-46312-4.pdf
Fundamentals of Biomechanics,Duane Knudson,2nd ed.2007,http://link.springer.com/openurl?genre=book&isbn=978-0-387-49312-1,Fundamentals_of_Biomechanics,https://link.springer.com//content/pdf/10.1007%2F978-0-387-49312-1.pdf
Primer on the Rheumatic Diseases,"John H. Klippel, John H. Stone, L eslieJ. Crofford, Patience H. White",13th ed.2008,http://link.springer.com/openurl?genre=book&isbn=978-0-387-68566-3,Primer_on_the_Rheumatic_Diseases,https://link.springer.com//content/pdf/10.1007%2F978-0-387-68566-3.pdf
Database Marketing,"Robert C. Blattberg, Byung-Do Kim,Scott A. Neslin",2008,http://link.springer.com/openurl?genre=book&isbn=978-0-387-72579-6,Database_Marketing,https://link.springer.com//content/pdf/10.1007%2F978-0-387-72579-6.pdf
Composite Materials,Krishan K. Chawla,3rd ed.2012,http://link.springer.com/openurl?genre=book&isbn=978-0-387-74365-3,Composite_Materials,https://link.springer.com//content/pdf/10.1007%2F978-0-387-74365-3.pdf
Time Series Analysis,"Jonathan D. Cryer, Kung-Sik Chan",2nd ed.2008,http://link.springer.com/openurl?genre=book&isbn=978-0-387-75959-3,Time_Series_Analysis,https://link.springer.com//content/pdf/10.1007%2F978-0-387-75959-3.pdf
Transmission Electron Microscopy,"David B. Williams, C. Barry Carter",2nd ed.2009,http://link.springer.com/openurl?genre=book&isbn=978-0-387-76501-3,Transmission_Electron_Microscopy,https://link.springer.com//content/pdf/10.1007%2F978-0-387-76501-3.pdf
Handbook of Quantitative Criminology,"Alex R. Piquero, David Weisburd",1st ed.2010,http://link.springer.com/openurl?genre=book&isbn=978-0-387-77650-7,Handbook_of_Quantitative_Criminology,https://link.springer.com//content/pdf/10.1007%2F978-0-387-77650-7.pdf
Plant Physiological Ecology,"Hans Lambers, F Stuart Chapin III,Thijs L. Pons",2nd ed.2008,http://link.springer.com/openurl?genre=book&isbn=978-0-387-78341-3,Plant_Physiological_Ecology,https://link.springer.com//content/pdf/10.1007%2F978-0-387-78341-3.pdf
Introductory Statistics with R,Peter Dalgaard,2nd ed.2008,http://link.springer.com/openurl?genre=book&isbn=978-0-387-79054-1,Introductory_Statistics_with_R,https://link.springer.com//content/pdf/10.1007%2F978-0-387-79054-1.pdf
The Elements of Statistical Learning,"Trevor Hastie, Robert Tibshirani,Jerome Friedman",2nd ed.2009,http://link.springer.com/openurl?genre=book&isbn=978-0-387-84858-7,The_Elements_of_Statistical_Learning,https://link.springer.com//content/pdf/10.1007%2F978-0-387-84858-7.pdf
"Psychology, Religion, and Spirituality",James M. Nelson,2009,http://link.springer.com/openurl?genre=book&isbn=978-0-387-87573-6,"Psychology,_Religion,_and_Spirituality",https://link.springer.com//content/pdf/10.1007%2F978-0-387-87573-6.pdf
Introductory Time Series with R,"Paul S.P. Cowpertwait, Andrew V.Metcalfe",2009,http://link.springer.com/openurl?genre=book&isbn=978-0-387-88698-5,Introductory_Time_Series_with_R,https://link.springer.com//content/pdf/10.1007%2F978-0-387-88698-5.pdf
Child Neuropsychology,"Margaret Semrud-Clikeman, PhyllisAnne Teeter Ellison",2nd ed.2009,http://link.springer.com/openurl?genre=book&isbn=978-0-387-88963-4,Child_Neuropsychology,https://link.springer.com//content/pdf/10.1007%2F978-0-387-88963-4.pdf
A Beginner's Guide to R,"Alain Zuur, Elena N. Ieno, ErikMeesters",2009,http://link.springer.com/openurl?genre=book&isbn=978-0-387-93837-0,A_Beginner's_Guide_to_R,https://link.springer.com//content/pdf/10.1007%2F978-0-387-93837-0.pdf
Geomorphology of Desert Environments,"Anthony J. Parsons, A. D. Abrahams",2nd ed.2009,http://link.springer.com/openurl?genre=book&isbn=978-1-4020-5719-9,Geomorphology_of_Desert_Environments,https://link.springer.com//content/pdf/10.1007%2F978-1-4020-5719-9.pdf
The Joy of Science,Richard A. Lockshin,2007,http://link.springer.com/openurl?genre=book&isbn=978-1-4020-6099-1,The_Joy_of_Science,https://link.springer.com//content/pdf/10.1007%2F978-1-4020-6099-1.pdf
Fatigue of Structures and Materials,J. Schijve,2nd ed.2009,http://link.springer.com/openurl?genre=book&isbn=978-1-4020-6808-9,Fatigue_of_Structures_and_Materials,https://link.springer.com//content/pdf/10.1007%2F978-1-4020-6808-9.pdf
Essential Astrophysics,Kenneth R. Lang,2013,http://link.springer.com/openurl?genre=book&isbn=978-3-642-35963-7,Essential_Astrophysics,https://link.springer.com//content/pdf/10.1007%2F978-3-642-35963-7.pdf
Introduction to Evolutionary Computing,"A.E. Eiben, J.E. Smith",2nd ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-3-662-44874-8,Introduction_to_Evolutionary_Computing,https://link.springer.com//content/pdf/10.1007%2F978-3-662-44874-8.pdf
Data Analysis,Siegmund Brandt,4th ed.2014,http://link.springer.com/openurl?genre=book&isbn=978-3-319-03762-2,Data_Analysis,https://link.springer.com//content/pdf/10.1007%2F978-3-319-03762-2.pdf
International Perspectives on Psychotherapy,Stefan G. Hofmann,1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-56194-3,International_Perspectives_on_Psychotherapy,https://link.springer.com//content/pdf/10.1007%2F978-3-319-56194-3.pdf
International Handbook of Historical Archaeology,"Teresita Majewski, David Gaimster",2009,http://link.springer.com/openurl?genre=book&isbn=978-0-387-72071-5,International_Handbook_of_Historical_Archaeology,https://link.springer.com//content/pdf/10.1007%2F978-0-387-72071-5.pdf
Mechanics and Thermodynamics,Wolfgang Demtröder,1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-27877-3,Mechanics_and_Thermodynamics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-27877-3.pdf
Applied Behavior Analysis,"Kimberly Maich, Darren Levine,Carmen Hall",1st ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-44794-0,Applied_Behavior_Analysis,https://link.springer.com//content/pdf/10.1007%2F978-3-319-44794-0.pdf
"Reading, Writing, and Proving","Ulrich Daepp, Pamela Gorkin",2nd ed.2011,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-9479-0,"Reading,_Writing,_and_Proving",https://link.springer.com//content/pdf/10.1007%2F978-1-4419-9479-0.pdf
Linear and Nonlinear Programming,"David G. Luenberger, Yinyu Ye",4th ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-18842-3,Linear_and_Nonlinear_Programming,https://link.springer.com//content/pdf/10.1007%2F978-3-319-18842-3.pdf
Introduction to Partial Differential Equations,David Borthwick,1st ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-48936-0,Introduction_to_Partial_Differential_Equations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-48936-0.pdf
Energy Storage,Robert Huggins,2nd ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-21239-5,Energy_Storage,https://link.springer.com//content/pdf/10.1007%2F978-3-319-21239-5.pdf
Metabolism of Human Diseases,"Eckhard Lammert, Martin Zeeb",2014,http://link.springer.com/openurl?genre=book&isbn=978-3-7091-0715-7,Metabolism_of_Human_Diseases,https://link.springer.com//content/pdf/10.1007%2F978-3-7091-0715-7.pdf
Sensory Evaluation of Food,"Harry T. Lawless, HildegardeHeymann",2nd ed.2010,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-6488-5,Sensory_Evaluation_of_Food,https://link.springer.com//content/pdf/10.1007%2F978-1-4419-6488-5.pdf
Fundamentals of Robotic Mechanical Systems,Jorge Angeles,4th ed.2014,http://link.springer.com/openurl?genre=book&isbn=978-3-319-01851-5,Fundamentals_of_Robotic_Mechanical_Systems,https://link.springer.com//content/pdf/10.1007%2F978-3-319-01851-5.pdf
Integrative Human Biochemistry,"Andrea T. da Poian, Miguel A. R. B.Castanho",1st ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-3058-6,Integrative_Human_Biochemistry,https://link.springer.com//content/pdf/10.1007%2F978-1-4939-3058-6.pdf
Philosophy of Science for Scientists,"LBaorgsd-Ganö rPaonv Jho,h Kalnausso Rnith, Christoph",1st ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-26551-3,Philosophy_of_Science_for_Scientists,https://link.springer.com//content/pdf/10.1007%2F978-3-319-26551-3.pdf
Particles and Nuclei,"Scholz, Frank Zetsche, WernerRodejohann",7th ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-3-662-46321-5,Particles_and_Nuclei,https://link.springer.com//content/pdf/10.1007%2F978-3-662-46321-5.pdf
Data Structures and Algorithms with Python,"Kent D. Lee, Steve Hubbard",2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-13072-9,Data_Structures_and_Algorithms_with_Python,https://link.springer.com//content/pdf/10.1007%2F978-3-319-13072-9.pdf
LGBT-Parent Families,"Abbie E. Goldberg, Katherine R. Allen",2013,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-4556-2,LGBT-Parent_Families,https://link.springer.com//content/pdf/10.1007%2F978-1-4614-4556-2.pdf
Integrated Neuroscience,"Elliott M. Marcus, Stanley Jacobson",2003,http://link.springer.com/openurl?genre=book&isbn=978-1-4615-1077-2,Integrated_Neuroscience,https://link.springer.com//content/pdf/10.1007%2F978-1-4615-1077-2.pdf
Introduction to Partial Differential Equations,Peter J. Olver,2014,http://link.springer.com/openurl?genre=book&isbn=978-3-319-02099-0,Introduction_to_Partial_Differential_Equations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-02099-0.pdf
Microeconomics,Peter Dorman,2014,http://link.springer.com/openurl?genre=book&isbn=978-3-642-37434-0,Microeconomics,https://link.springer.com//content/pdf/10.1007%2F978-3-642-37434-0.pdf
System Dynamics,"Bilash Kanti Bala, Fatimah MohamedArshad, Kusairi Mohd Noh",1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-981-10-2045-2,System_Dynamics,https://link.springer.com//content/pdf/10.1007%2F978-981-10-2045-2.pdf
Cosmology for the Curious,"Delia Perlov, Alex Vilenkin",1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-57040-2,Cosmology_for_the_Curious,https://link.springer.com//content/pdf/10.1007%2F978-3-319-57040-2.pdf
Electrical Machines,Slobodan N. Vukosavic,2012,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-0400-2,Electrical_Machines,https://link.springer.com//content/pdf/10.1007%2F978-1-4614-0400-2.pdf
Introduction to Logic Circuits & Logic Design with Verilog,Brock J. LaMeres,1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-53883-9,Introduction_to_Logic_Circuits_&_Logic_Design_with_Verilog,https://link.springer.com//content/pdf/10.1007%2F978-3-319-53883-9.pdf
Structural Analysis,"O. A. Bauchau, J.I. Craig",2009,http://link.springer.com/openurl?genre=book&isbn=978-90-481-2516-6,Structural_Analysis,https://link.springer.com//content/pdf/10.1007%2F978-90-481-2516-6.pdf
Engineering Flow and Heat Exchange,Octave Levenspiel,3rd ed.2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4899-7454-9,Engineering_Flow_and_Heat_Exchange,https://link.springer.com//content/pdf/10.1007%2F978-1-4899-7454-9.pdf
Enterprise Risk Management Models,"DNavseidr LM. Oahlsdoanv,i  DTeabshaetanbga Deai,s Ahl iW Jaufari",2nd ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-662-53785-5,Enterprise_Risk_Management_Models,https://link.springer.com//content/pdf/10.1007%2F978-3-662-53785-5.pdf
Reactive Power Control in AC Power Systems,"Aghbolaghi, Nicu Bizon, FredeBlaabjerg",1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-51118-4,Reactive_Power_Control_in_AC_Power_Systems,https://link.springer.com//content/pdf/10.1007%2F978-3-319-51118-4.pdf
Principles of Microeconomics,Martin Kolmar,1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-57589-6,Principles_of_Microeconomics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-57589-6.pdf
Additive Manufacturing Technologies,"Ian Gibson, David W. Rosen, BrentStucker",2010,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-1120-9,Additive_Manufacturing_Technologies,https://link.springer.com//content/pdf/10.1007%2F978-1-4419-1120-9.pdf
Principles of Physics,"Hafez  A . Radi, John O Rasmussen",2012,http://link.springer.com/openurl?genre=book&isbn=978-3-642-23026-4,Principles_of_Physics,https://link.springer.com//content/pdf/10.1007%2F978-3-642-23026-4.pdf
Fundamentals of Biomechanics,"Nihat Özkaya, Dawn Leger, DavidGoldsheyder, Margareta Nordin",4th ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-44738-4,Fundamentals_of_Biomechanics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-44738-4.pdf
Irrigation and Drainage Engineering,"Peter Waller, Muluneh Yitayew",1st ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-05699-9,Irrigation_and_Drainage_Engineering,https://link.springer.com//content/pdf/10.1007%2F978-3-319-05699-9.pdf
LaTeX in 24 Hours,Dilip Datta,1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-47831-9,LaTeX_in_24_Hours,https://link.springer.com//content/pdf/10.1007%2F978-3-319-47831-9.pdf
Psychology of Perception,Simon Grondin,1st ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-31791-5,Psychology_of_Perception,https://link.springer.com//content/pdf/10.1007%2F978-3-319-31791-5.pdf
Extragalactic Astronomy and Cosmology,Peter Schneider,2nd ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-3-642-54083-7,Extragalactic_Astronomy_and_Cosmology,https://link.springer.com//content/pdf/10.1007%2F978-3-642-54083-7.pdf
Automata and Computability,Dexter C. Kozen,1997,http://link.springer.com/openurl?genre=book&isbn=978-1-4612-1844-9,Automata_and_Computability,https://link.springer.com//content/pdf/10.1007%2F978-1-4612-1844-9.pdf
The Algorithm Design Manual,Steven S Skiena,2nd ed.2008,http://link.springer.com/openurl?genre=book&isbn=978-1-84800-070-4,The_Algorithm_Design_Manual,https://link.springer.com//content/pdf/10.1007%2F978-1-84800-070-4.pdf
Chemical Thermodynamics,Ernö Keszei,2012,http://link.springer.com/openurl?genre=book&isbn=978-3-642-19864-9,Chemical_Thermodynamics,https://link.springer.com//content/pdf/10.1007%2F978-3-642-19864-9.pdf
Computational Physics,Philipp O.J. Scherer,3rd ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-61088-7,Computational_Physics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-61088-7.pdf
Introduction to Statistics and Data Analysis,"Christian Heumann, MichaelSchomaker,  Shalabh",1st ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-46162-5,Introduction_to_Statistics_and_Data_Analysis,https://link.springer.com//content/pdf/10.1007%2F978-3-319-46162-5.pdf
Grammar for Teachers,Andrea DeCapua,2nd ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-33916-0,Grammar_for_Teachers,https://link.springer.com//content/pdf/10.1007%2F978-3-319-33916-0.pdf
Methods of Mathematical Modelling,"Thomas Witelski, Mark Bowen",1st ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-23042-9,Methods_of_Mathematical_Modelling,https://link.springer.com//content/pdf/10.1007%2F978-3-319-23042-9.pdf
Electrochemistry,"Christine Lefrou, Pierre Fabry, Jean-Claude Poignet",2012,http://link.springer.com/openurl?genre=book&isbn=978-3-642-30250-3,Electrochemistry,https://link.springer.com//content/pdf/10.1007%2F978-3-642-30250-3.pdf
Classical Fourier Analysis,Loukas Grafakos,3rd ed.2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-1194-3,Classical_Fourier_Analysis,https://link.springer.com//content/pdf/10.1007%2F978-1-4939-1194-3.pdf
Human Chromosomes,"Orlando J. Miller, Eeva Therman",4th ed.2001,http://link.springer.com/openurl?genre=book&isbn=978-1-4613-0139-4,Human_Chromosomes,https://link.springer.com//content/pdf/10.1007%2F978-1-4613-0139-4.pdf
Phylogenomics,Christoph Bleidorn,1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-54064-1,Phylogenomics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-54064-1.pdf
Quantum Theory for Mathematicians,Brian C. Hall,2013,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7116-5,Quantum_Theory_for_Mathematicians,https://link.springer.com//content/pdf/10.1007%2F978-1-4614-7116-5.pdf
Evidence-Based Critical Care,Robert C. Hyzy,1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-43341-7,Evidence-Based_Critical_Care,https://link.springer.com//content/pdf/10.1007%2F978-3-319-43341-7.pdf
Clinical Assessment of Child and Adolescent Personality and Behavior,"Paul J. Frick, Christopher T. Barry,Randy W. Kamphaus",3rd ed.2010,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-0641-0,Clinical_Assessment_of_Child_and_Adolescent_Personality_and_Behavior,https://link.springer.com//content/pdf/10.1007%2F978-1-4419-0641-0.pdf
Design Research in Information Systems,"Alan Hevner, Samir Chatterjee",2010,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-5653-8,Design_Research_in_Information_Systems,https://link.springer.com//content/pdf/10.1007%2F978-1-4419-5653-8.pdf
Intermediate Physics for Medicine and Biology,"Russell K. Hobbie, Bradley J. Roth",5th ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-12682-1,Intermediate_Physics_for_Medicine_and_Biology,https://link.springer.com//content/pdf/10.1007%2F978-3-319-12682-1.pdf
Principles of Data Mining,"HMaanxn Bur aKmarettrunen, Pekka Kröger,",3rd ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-7307-6,Principles_of_Data_Mining,https://link.springer.com//content/pdf/10.1007%2F978-1-4471-7307-6.pdf
Fundamental Astronomy,"Heikki Oja, Markku Poutanen, KarlJohan Donner",6th ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-662-53045-0,Fundamental_Astronomy,https://link.springer.com//content/pdf/10.1007%2F978-3-662-53045-0.pdf
Fundamentals of Business Process Management,"Marlon Dumas, Marcello La Rosa, JanMendling, Hajo A. Reijers",2013,http://link.springer.com/openurl?genre=book&isbn=978-3-642-33143-5,Fundamentals_of_Business_Process_Management,https://link.springer.com//content/pdf/10.1007%2F978-3-642-33143-5.pdf
"Brownian Motion, Martingales, and Stochastic Calculus",Jean-François Le Gall,1st ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-31089-3,"Brownian_Motion,_Martingales,_and_Stochastic_Calculus",https://link.springer.com//content/pdf/10.1007%2F978-3-319-31089-3.pdf
UML @ Classroom,"Martina Seidl, Marion Scholz,Christian Huemer, Gerti Kappel",2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-12742-2,UML_@_Classroom,https://link.springer.com//content/pdf/10.1007%2F978-3-319-12742-2.pdf
Design and Analysis of Experiments,"Angela Dean, Daniel Voss, DanelDraguljić",2nd ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-52250-0,Design_and_Analysis_of_Experiments,https://link.springer.com//content/pdf/10.1007%2F978-3-319-52250-0.pdf
Foundations for Designing User-Centered Systems,"Frank E. Ritter, Gordon D. Baxter,Elizabeth F. Churchill",2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-5134-0,Foundations_for_Designing_User-Centered_Systems,https://link.springer.com//content/pdf/10.1007%2F978-1-4471-5134-0.pdf
Handbook of Consumer Finance Research,Jing Jian Xiao,2nd ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-28887-1,Handbook_of_Consumer_Finance_Research,https://link.springer.com//content/pdf/10.1007%2F978-3-319-28887-1.pdf
Principles of Terrestrial Ecosystem Ecology,"F Stuart Chapin III, Pamela A. Matson,Peter Vitousek",2nd ed.2012,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-9504-9,Principles_of_Terrestrial_Ecosystem_Ecology,https://link.springer.com//content/pdf/10.1007%2F978-1-4419-9504-9.pdf
Applied Multivariate Statistical Analysis,"Wolfgang Karl Härdle, Léopold Simar",4th ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-3-662-45171-7,Applied_Multivariate_Statistical_Analysis,https://link.springer.com//content/pdf/10.1007%2F978-3-662-45171-7.pdf
Time Series Econometrics,Klaus Neusser,1st ed.2016,http://link.springer.com/openurl?genre=book&isbn=978-3-319-32862-1,Time_Series_Econometrics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-32862-1.pdf
Computer Vision,Richard Szeliski,2011,http://link.springer.com/openurl?genre=book&isbn=978-1-84882-935-0,Computer_Vision,https://link.springer.com//content/pdf/10.1007%2F978-1-84882-935-0.pdf
Engineering Electromagnetics,Nathan Ida,3rd ed.2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-07806-9,Engineering_Electromagnetics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-07806-9.pdf
Data Mining,Charu C. Aggarwal,2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-14142-8,Data_Mining,https://link.springer.com//content/pdf/10.1007%2F978-3-319-14142-8.pdf
International Trade Theory and Policy,Giancarlo Gandolfo,2nd ed.2014,http://link.springer.com/openurl?genre=book&isbn=978-3-642-37314-5,International_Trade_Theory_and_Policy,https://link.springer.com//content/pdf/10.1007%2F978-3-642-37314-5.pdf
Alternative Energy Sources,Efstathios E (Stathis) Michaelides,2012,http://link.springer.com/openurl?genre=book&isbn=978-3-642-20951-2,Alternative_Energy_Sources,https://link.springer.com//content/pdf/10.1007%2F978-3-642-20951-2.pdf
Introduction to Electronic Commerce and Social Commerce,"Efraim Turban, Judy Whiteside, DavidKing, Jon Outland",4th ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-50091-1,Introduction_to_Electronic_Commerce_and_Social_Commerce,https://link.springer.com//content/pdf/10.1007%2F978-3-319-50091-1.pdf
Computational Geometry,"Mark de Berg, Otfried Cheong, Marcvan Kreveld, Mark Overmars",3rd ed.2008,http://link.springer.com/openurl?genre=book&isbn=978-3-540-77974-2,Computational_Geometry,https://link.springer.com//content/pdf/10.1007%2F978-3-540-77974-2.pdf
Elementary Mechanics Using Python,Anders Malthe-Sørenssen,2015,http://link.springer.com/openurl?genre=book&isbn=978-3-319-19596-4,Elementary_Mechanics_Using_Python,https://link.springer.com//content/pdf/10.1007%2F978-3-319-19596-4.pdf
Energy Economics,"Peter Zweifel, Aaron Praktiknjo,Georg Erdmann",1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-662-53022-1,Energy_Economics,https://link.springer.com//content/pdf/10.1007%2F978-3-662-53022-1.pdf
Biomedical Informatics,"Edward H. Shortliffe, James J. Cimino",4th ed.2014,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-4474-8,Biomedical_Informatics,https://link.springer.com//content/pdf/10.1007%2F978-1-4471-4474-8.pdf
"Robotics, Vision and Control",Peter Corke,2nd ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-54413-7,"Robotics,_Vision_and_Control",https://link.springer.com//content/pdf/10.1007%2F978-3-319-54413-7.pdf
Acid-Base Diagrams,"Heike Kahlert, Fritz Scholz",2013,http://link.springer.com/openurl?genre=book&isbn=978-3-642-37902-4,Acid-Base_Diagrams,https://link.springer.com//content/pdf/10.1007%2F978-3-642-37902-4.pdf
Brewing Science: A Multidisciplinary Approach,"Michael Mosher, Kenneth Trantham",1st ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-3-319-46394-0,Brewing_Science:_A_Multidisciplinary_Approach,https://link.springer.com//content/pdf/10.1007%2F978-3-319-46394-0.pdf
Learning Landscape Ecology,"Sarah E. Gergel, Monica G. Turner",2nd ed.2017,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-6374-4,Learning_Landscape_Ecology,https://link.springer.com//content/pdf/10.1007%2F978-1-4939-6374-4.pdf
Probability,Jim Pitman,1993,http://link.springer.com/openurl?genre=book&isbn=978-1-4612-4374-8,Probability,https://link.springer.com//content/pdf/10.1007%2F978-1-4612-4374-8.pdf
